Deal_title,Success_probability
TitleAD16O,59.6
TitleOW6CR,67.6
TitleVVJQ5,71.7
TitleUS8NA,65.2
Title5VGWW,67.9
TitleE2WOK,66.3
Title8CF62,64.0
TitleF8687,52.3
TitleWNTYU,61.0
TitleXK47X,65.7
Title2QCON,61.8
TitleR9W92,68.0
TitleY5USZ,65.9
TitleY4MJP,66.0
Title1W8YF,67.2
Title9HII9,65.8
Title725I7,69.0
TitleTB8A9,64.2
Title9CM6M,66.4
Title2ATAG,74.6
TitleAKV0K,66.0
Title40AN7,66.7
TitleQC654,59.1
TitleDYIL3,55.6
TitleEX1S3,70.0
TitleAMLDL,66.3
TitleQH7E7,59.7
TitleT52E7,67.4
TitleTGRSX,65.4
TitleNL1RF,64.6
TitleXOLYB,63.1
Title6M0R1,62.2
TitleO3EA1,65.4
TitleDOHV2,65.7
TitleBZERW,66.0
TitleGD2UX,61.3
TitleWLHM9,69.4
TitleKCOAN,66.1
TitleZLSEG,59.0
TitleIJCLT,64.4
Title6TO0C,60.3
Title6G0HX,59.9
TitleOI849,60.9
TitleFOU96,66.6
Title1JMW2,58.1
TitleEK2G5,74.5
TitleFCVZZ,63.5
TitleYWT9O,59.5
TitleONFNK,58.9
TitleYBWHO,58.6
Title0ABZU,65.1
TitleRL0H9,62.2
Title7EQFB,70.3
Title4EV1D,67.0
TitleBGKH2,63.2
TitleDTP0Z,66.0
Title11K82,69.5
Title7VF6X,72.4
TitleQU2CO,51.4
Title64YS8,69.9
TitleFIM0Q,64.1
TitleCWEHX,60.1
Title92460,62.3
TitleWJ99Y,73.2
TitleKRL1N,70.3
TitleL3YT1,59.8
Title38LJL,66.5
TitleH6EHH,59.4
Title85MTC,60.0
TitleKHY4R,60.2
TitleVSLNT,68.9
Title87H8W,69.8
TitleF6Y3O,69.1
TitleARV9A,59.1
TitleNOVXO,69.7
TitleB9BV2,70.5
TitleBJ1RG,66.5
TitleCEJAA,65.1
Title6IXFW,70.0
TitleMMMJ8,62.4
TitleS2KHC,65.4
TitleBQCK8,67.9
Title49KAE,65.8
TitleI75WO,61.3
Title89CC9,63.4
TitleQH1LB,68.8
TitleO4EZA,59.1
Title29I32,63.9
TitleQS6HG,61.1
Title3X354,66.6
Title7O1LX,67.5
TitleTL3RY,71.1
TitleGNLFA,71.2
Title2LWRP,59.0
TitleASNW8,61.1
Title17AXX,67.3
Title1ZNU8,63.1
TitleI91SM,59.8
TitleT3O89,61.4
Title7SN4U,67.8
TitleXTN7N,66.7
Title60US8,62.2
TitleHQHV8,60.6
TitleKRERU,66.9
Title2LMSH,62.9
TitleRUNZZ,61.9
TitleNWNCQ,67.7
TitleX4XVX,60.2
TitleZZ8C4,67.7
Title40VOT,65.3
TitleVJE93,60.3
TitleT6IFU,58.4
TitleJTB5C,70.0
TitleP27G5,71.6
Title9MOY9,64.5
TitleL2MIQ,60.3
Title4C0R3,69.8
Title9M68F,61.4
TitleTV4EP,66.7
TitleGRQSE,65.3
Title66KV3,66.1
TitleZGL83,60.9
TitleDXX1I,61.4
TitleJEC3R,59.3
TitleJ86PA,67.8
TitleY63E7,66.4
TitleTIZWH,69.6
Title8Q2VE,60.2
TitleU4TJJ,61.3
Title3DJSM,64.7
TitleQK0GK,65.8
Title1RJEO,59.0
TitleQLAAT,60.9
TitleE5SMZ,67.0
TitleBCI7X,70.5
TitleEJ8QG,62.8
TitleF952N,61.9
TitleTSFVY,72.5
TitleMDHHH,63.1
TitleRHKWU,58.8
Title5FQ2D,65.3
TitleC9DTF,58.8
TitleMNACX,61.2
Title3HAQN,67.7
TitleVZ77S,60.5
Title9XK7J,62.8
